,UID,RequestMode,WallTime,id,type,status,text,is_improved,dispatch_coord,WPT_1_type,WPT_1_name,WPT_2_type,WPT_2_name,RejoinType,RejoinWaypoint,EndpointLat,EndpointLon,SavingType,SavingsValue,SavingsUnits,FlightLevel
44,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582583.137537,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.9863,sec,NA
45,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582583.137537,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.353,sec,320
46,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582583.15789,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.9863,sec,NA
47,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582593.741304,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,14.331,sec,320
48,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582593.741304,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-3.01,sec,NA
49,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582593.741304,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.276,sec,320
50,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582593.761672,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-3.01,sec,NA
51,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582606.410833,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.184,sec,320
52,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582606.410833,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.052,sec,NA
53,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582606.410833,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.168,sec,320
54,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582606.432328,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.052,sec,NA
55,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582611.418322,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.091,sec,320
56,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582611.418322,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.1458,sec,NA
57,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582611.418322,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.166,sec,320
58,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582621.647931,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,11.87,sec,320
59,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582621.647931,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2461,sec,NA
60,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582621.647931,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.058,sec,320
61,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582621.669532,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2461,sec,NA
62,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582631.981541,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,11.739,sec,320
63,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582631.981541,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2928,sec,NA
64,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582631.981541,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.118,sec,320
65,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582632.005343,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2928,sec,NA
66,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582643.653832,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,11.574,sec,320
